Album,Album Artist,Album Rating,Album Rating Computed,Apple Music,Artist,Artwork Count,Bit Rate,Clean,Comments,Compilation,Composer,Date Added,Date Modified,Disc Count,Disc Number,Explicit,File Folder Count,Genre,Grouping,Kind,Library Folder Count,Location,Loved,Name,Part Of Gapless Album,Persistent ID,Play Count,Play Date,Play Date UTC,Playlist Only,Protected,Purchased,Rating,Rating Computed,Release Date,Sample Rate,Size,Skip Count,Skip Date,Sort Album,Sort Album Artist,Sort Artist,Sort Composer,Sort Name,Total Time,Track Count,Track ID,Track Number,Track Type,Year
Eye II Eye,Scorpions,80,,,Scorpions,1,256,,,,Klaus Meine/Rudolf Schenker,2016-04-21T04:03:00Z,2017-08-16T17:06:14Z,,1,,5,Rock,,Apple Music AAC audio file,1,file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Apple%20Music/Scorpions/Eye%20II%20Eye/1-13%20Aleyah.m4p,,Aleyah,,9E9EB48D00077F3D,22,3594194346,2017-11-22T10:19:06Z,,,,60,,1999-03-09T08:00:00Z,44100,9619177,2,2017-10-05T11:47:10Z,,,,,,259826,,1140,13,File,1999
Waking Up,OneRepublic,80,,,OneRepublic,1,256,,,,Klaus Meine/Rudolf Schenker,2017-01-22T08:10:47Z,2017-09-29T05:50:35Z,,1,,5,Pop,,Apple Music AAC audio file,1,file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Apple%20Music/OneRepublic/Waking%20Up/1-02%20All%20The%20Right%20Moves.m4p,,All The Right Moves,,640B30161D1FE599,5,3598243641,2018-01-08T07:07:21Z,,,,80,,2009-11-17T08:00:00Z,44100,8435621,4,2017-12-10T13:35:48Z,,,,,,239071,11,1142,2,File,2009
Waking Up,OneRepublic,80,,,OneRepublic,1,256,,,,Klaus Meine/Rudolf Schenker,2017-01-22T08:10:47Z,2017-09-29T05:50:35Z,,1,,5,Pop,,Apple Music AAC audio file,1,file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Apple%20Music/OneRepublic/Waking%20Up/1-07%20All%20This%20Time.m4p,,All This Time,,A2F969FDC1D31BAA,9,3603251251,2018-03-07T06:07:31Z,,,,80,,2009-11-17T08:00:00Z,44100,8458038,1,2017-10-22T16:56:31Z,,,,,,242946,11,1144,7,File,2009
Now 3,Bee Gees,100,,,Bee Gees,1,256,,© Sajith Vijayan,,Klaus Meine/Rudolf Schenker,2017-06-19T16:47:23Z,2018-02-21T20:37:05Z,,1,,5,default,,Apple Music AAC audio file,1,file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Apple%20Music/Bee%20Gees/Now%203/1-07%20Alone.m4p,,Alone,,429F6F245C4A6830,24,3608465480,2018-05-06T13:31:20Z,,,,100,,1997-03-10T08:00:00Z,44100,10248476,1,2017-10-22T16:56:31Z,,,,,,290066,11,1146,7,File,2009
Now 3,Bon Jovi,100,,,Bon Jovi,1,160,,© Sajith Vijayan,,Klaus Meine/Rudolf Schenker,2017-01-22T08:38:35Z,2001-02-24T08:07:18Z,,1,,5,default,,Apple Music AAC audio file,1,file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Apple%20Music/Bee%20Gees/Now%203/1-07%20Alone.m4p,,Always,,FA91041A79979FC4,9,3603047229,2018-03-04T21:27:09Z,,,,100,,1997-03-10T08:00:00Z,44100,7058258,2,2017-10-09T06:34:03Z,,,,,,352496,11,1148,7,Remote,2009
Songs in the Key of Life Disc 2,Stevie Wonder,100,,,Stevie Wonder,1,256,,© Sajith Vijayan,,Stevie Wonder,2017-02-09T18:52:18Z,2018-05-08T11:41:51Z,,1,,5,R&B,,Apple Music AAC audio file,1,file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Apple%20Music/Stevie%20Wonder/Songs%20in%20the%20Key%20of%20Life%20Disc%202/1-06%20As.m4p,,As,,EB0515FAB51B34E0,3,3608319195,2018-05-04T20:53:15Z,,,,100,,2005-10-12T00:00:00Z,44100,15914928,5,2017-12-22T15:56:30Z,,,,,,428462,11,1160,6,File,1976
Revolutions: The Very Best Of Steve Winwood,Steve Winwood,80,,,Steve Winwood,1,256,,© Sajith Vijayan,,Stevie Wonder,2017-01-22T08:10:10Z,2017-08-16T17:08:31Z,,1,,5,Rock,,Apple Music AAC audio file,1,file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Apple%20Music/Steve%20Winwood/Revolutions_%20The%20Very%20Best%20Of%20Steve%20Winw/1-14%20Back%20In%20The%20High%20Life%20Again.m4p,,Back In The High Life Again,,7AA8680C2FEDE882,7,3591331983,2017-10-20T06:13:03Z,,,,80,,2010-01-01T08:00:00Z,44100,9865853,2,2018-05-08T15:49:30Z,,,,,,263960,17,1164,14,File,2010
Crossroads,Bon Jovi,80,,,Bon Jovi,1,128,,ENCODED BY RGFC (ICQ 5758811),,Stevie Wonder,2017-01-22T08:39:09Z,2002-11-27T09:24:38Z,,1,,5,Pop,,Apple Music AAC audio file,1,file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Apple%20Music/Steve%20Winwood/Revolutions_%20The%20Very%20Best%20Of%20Steve%20Winw/1-14%20Back%20In%20The%20High%20Life%20Again.m4p,,Bed of Roses,,43A91998ED62FC17,9,3608460659,2018-05-06T12:10:59Z,,,,80,,2010-01-01T08:00:00Z,44100,6315579,2,2018-05-08T15:49:30Z,,,,,,395337,17,1166,14,Remote,1998
Believe,Cher,80,,,Cher,1,256,,ENCODED BY RGFC (ICQ 5758811),,Brian Higgins/Matthew Gray/Paul Barry/Steve Torch/Stuart McLennan/Timothy Powell,2017-02-09T18:52:18Z,2017-08-16T17:09:10Z,,1,,5,Pop,,Apple Music AAC audio file,1,file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Apple%20Music/Cher/Believe/Believe.m4p,,Believe,,5C6477093B87C377,6,3594575673,2017-11-26T20:14:33Z,,,,80,,1998-10-26T08:00:00Z,44100,8588943,1,2018-01-04T23:34:25Z,,,,,,239026,17,1168,14,File,1998
Believe,Bon Jovi,80,,,Bon Jovi,1,160,,ENCODED BY RGFC (ICQ 5758811),,Brian Higgins/Matthew Gray/Paul Barry/Steve Torch/Stuart McLennan/Timothy Powell,2017-01-22T08:39:09Z,2001-02-24T03:38:06Z,,1,,5,Pop,,Apple Music AAC audio file,1,file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Apple%20Music/Cher/Believe/Believe.m4p,,Blaze Of Glory,,930BEC3B84880F07,6,3594575673,2017-11-26T20:14:33Z,,,,80,,1998-10-26T08:00:00Z,44100,6857638,1,2017-10-23T16:37:08Z,,,,,,342465,17,1174,14,Remote,1998
