Album,Album Artist,Album Rating,Album Rating Computed,Artist,Artwork Count,Bit Rate,Clean,Compilation,Composer,Date Added,Date Modified,Disc Count,Disc Number,File Folder Count,Genre,Kind,Library Folder Count,Location,Loved,Name,Part Of Gapless Album,Persistent ID,Play Count,Play Date,Play Date UTC,Purchased,Rating,Rating Computed,Release Date,Sample Rate,Size,Skip Count,Skip Date,Sort Album,Sort Album Artist,Sort Artist,Sort Composer,Sort Name,Total Time,Track Count,Track ID,Track Number,Track Type,Year
Greatest Hits,Ace of Base,,,Ace of Base,1,256,,,Jonas Berggren,2016-08-31T16:35:05Z,2017-08-16T17:18:07Z,1,1,5,Pop,Purchased AAC audio file,1,file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Music/Ace%20of%20Base/Greatest%20Hits/14%20C'est%20la%20Vie%20(Always%2021).m4a,,C'est la Vie (Always 21),,97226A655D8AEC5F,5,,,,,,1999-10-25T07:00:00Z,44100,7330273,1,,Greatest Hits,,Ace of Base,,C'est la Vie (Always 21),207000,20,1114,14,File,1999
Greatest Hits,Ace of Base,,,Ace of Base,1,256,,,"Jonas Berggren, Ulf Ekberg, Jenny Berggren & Linn Berggren",2016-08-31T16:35:05Z,2018-05-05T18:35:20Z,1,1,5,Pop,Purchased AAC audio file,1,file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Music/Ace%20of%20Base/Greatest%20Hits/20%20Love%20In%20December.m4a,,Love In December,,56228EF26B4DC223,9,3608631793,2018-05-08T11:43:13Z,,,,1999-11-12T08:00:00Z,44100,8714912,3,,Greatest Hits,,Ace of Base,,Love In December,240066,20,1116,20,File,1999
Sultans of Swing - The Very Best of Dire Straits,Dire Straits,80,,Dire Straits,1,256,,,Mark Knopfler,2016-02-04T05:25:23Z,2017-08-16T17:29:07Z,1,1,5,Rock,Purchased AAC audio file,1,file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Music/Dire%20Straits/Sultans%20of%20Swing%20-%20The%20Very%20Best%20of%20Dire/15%20Your%20Latest%20Trick%20(Live).m4a,,Your Latest Trick (Live),,40A81D05C49C7299,14,3590664218,2017-10-12T12:43:38Z,,80,,1993-05-10T07:00:00Z,44100,11911219,2,,Sultans of Swing - The Very Best of Dire Straits,,Dire Straits,,Your Latest Trick (Live),338400,16,1118,15,File,1993
Greatest Hits,Ace of Base,80,,Ace of Base,1,256,,,Jonas Berggren,2016-08-31T16:35:05Z,2018-05-05T18:35:38Z,1,1,5,Pop,Purchased AAC audio file,1,file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Music/Ace%20of%20Base/Greatest%20Hits/02%20The%20Sign.m4a,,The Sign,,7B419E5231EC613D,4,3603789739,2018-03-13T11:42:19Z,,80,,1993-01-01T08:00:00Z,44100,6890915,1,,Greatest Hits,,Ace of Base,,Sign,189786,20,1120,2,File,1993
Sultans of Swing - The Very Best of Dire Straits,Dire Straits,80,,Dire Straits,1,256,,,Mark Knopfler,2016-02-04T05:25:23Z,2016-02-04T05:25:23Z,1,1,5,Rock,Purchased AAC audio file,1,file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Music/Ace%20of%20Base/Greatest%20Hits/02%20The%20Sign.m4a,,So Far Away,,AE66269ECEED6A39,77,3608407049,2018-05-05T21:17:29Z,,80,,1985-04-01T08:00:00Z,44100,8468304,2,,Sultans of Swing - The Very Best of Dire Straits,,Dire Straits,,So Far Away,240000,16,1122,8,Remote,1985
Sultans of Swing - The Very Best of Dire Straits,Dire Straits,80,,Dire Straits,1,256,,,Mark Knopfler,2016-02-04T05:25:23Z,2016-02-04T05:25:23Z,1,1,5,Rock,Purchased AAC audio file,1,file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Music/Ace%20of%20Base/Greatest%20Hits/02%20The%20Sign.m4a,,Brothers in Arms,,3651361E08AB5430,11,3594042375,2017-11-20T16:06:15Z,,80,,1985-05-01T07:00:00Z,44100,10210963,3,2017-08-22T06:44:13Z,Sultans of Swing - The Very Best of Dire Straits,,Dire Straits,,Brothers in Arms,290760,16,1124,10,Remote,1985
Sultans of Swing - The Very Best of Dire Straits,Dire Straits,80,,Dire Straits,1,256,,,Mark Knopfler,2016-02-04T05:25:23Z,2016-02-04T05:25:23Z,1,1,5,Rock,Purchased AAC audio file,1,file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Music/Ace%20of%20Base/Greatest%20Hits/02%20The%20Sign.m4a,,Love Over Gold (Live),,30724457CF6E2FC5,12,3607318637,2018-04-23T06:57:17Z,,80,,1984-03-16T08:00:00Z,44100,7798764,1,2017-08-18T08:06:11Z,Sultans of Swing - The Very Best of Dire Straits,,Dire Straits,,Love Over Gold (Live),216333,16,1126,7,Remote,1984
Greatest Hits,Bruce Springsteen,100,,Bruce Springsteen,1,256,,,Bruce Springsteen,2016-10-20T23:11:24Z,2017-08-05T18:38:50Z,1,1,5,Rock,Purchased AAC audio file,1,file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Music/Bruce%20Springsteen/Greatest%20Hits/15%20Secret%20Garden.m4a,,Secret Garden,,616DC5DCCB1ABDFD,108,3595353587,2017-12-05T20:19:47Z,,100,,1995-02-27T08:00:00Z,44100,9390907,4,2018-05-29T16:33:56Z,Greatest Hits,,Bruce Springsteen,,Secret Garden,266600,18,1128,15,File,1995
Greatest Hits,Bruce Springsteen,100,,Bruce Springsteen,1,256,,,Bruce Springsteen,2016-10-20T23:11:24Z,2017-08-05T18:38:51Z,1,1,5,Rock,Purchased AAC audio file,1,file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Music/Bruce%20Springsteen/Greatest%20Hits/14%20Streets%20of%20Philadelphia.m4a,,Streets of Philadelphia,,6940E8F4E9BB705B,27,3603792607,2018-03-13T12:30:07Z,,100,,1993-01-01T08:00:00Z,44100,6958600,4,2018-05-29T16:33:56Z,Greatest Hits,,Bruce Springsteen,,Streets of Philadelphia,195293,18,1130,14,File,1993
It Ain't Me - Single,Kygo & Selena Gomez,100,,Kygo & Selena Gomez,1,256,,,"Kygo, Selena Gomez, Andrew Wotman, Brian Lee & Ali Tamposi",2017-06-14T11:00:42Z,2017-08-05T18:35:44Z,1,1,5,Pop,Purchased AAC audio file,1,file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Music/Kygo%20&%20Selena%20Gomez/It%20Ain't%20Me%20-%20Single/01%20It%20Ain't%20Me.m4a,,It Ain't Me,,C97ECA379346E468,70,3597943898,2018-01-04T19:51:38Z,,100,,2017-02-17T08:00:00Z,44100,8440588,2,2018-05-29T16:33:56Z,It Ain't Me - Single,,Kygo & Selena Gomez,,It Ain't Me,220780,1,1132,1,File,2017
